sample-id	sample	experiment	sampleType	treatment	timePoint	time	temperature	DHW	tank	fragID	genotype	kit	DNAextraction
310	P2.29 T5	Porites	porites	heat	T5	55	32	8	13	P2.29	P2	4	6.1.21
143	P3.28 T5	Porites	porites	heat	T5	55	32	8	13	P3.28	P3	4	23.12.20
238	P4.20 T5	Porites	porites	heat	T5	55	32	8	13	P4.20	P4	4	23.12.20
193	SW Porites T5 tank 13	Porites	seawater	heat	T5	55	32	8	13	no	no	4	14.12.20
259	P1.15 T5	Porites	porites	heat	T5	55	32	8	24	P1.15	P1	4	24.12.20
261	P1.37 T5	Porites	porites	heat	T5	55	32	8	24	P1.37	P1	4	24.12.20
201	P2.34 T5	Porites	porites	heat	T5	55	32	8	24	P2.34	P2	4	30.12.20
262	P3.34 T5	Porites	porites	heat	T5	55	32	8	24	P3.34	P3	4	24.12.20
260	P4.36 T5	Porites	porites	heat	T5	55	32	8	24	P4.36	P4	4	24.12.20
175	P4.37 T5	Porites	porites	heat	T5	55	32	8	24	P4.37	P4	4	30.12.20
153	SW Porites T5 tank 24	Porites	seawater	heat	T5	55	32	8	24	no	no	4	14.12.20
247	Algae food 1	Porites	food	no	algae	no	no	no	no	no	no	4	5.2.21
285	Algae food 2	Porites	food	no	algae	no	no	no	no	no	no	4	5.2.21
306	Algae food 3	Porites	food	no	algae	no	no	no	no	no	no	4	5.2.21
289	BLANK 4 #1	Porites	blank	no	blank	no	no	no	no	no	no	4	29.12.20
224	BLANK 4 #2	Porites	blank	no	blank	no	no	no	no	no	no	4	22.12.20
167	Blank 4 #3	Porites	blank	no	blank	no	no	no	no	no	no	4	8.1.21
188	negative	Porites	negative	no	negative	no	no	no	no	no	no	no	no
282	negative	Porites	negative	no	negative	no	no	no	no	no	no	no	no
321	negative	Porites	negative	no	negative	no	no	no	no	no	no	no	no
320	negative plate2 H11	Porites	negative	no	negative	no	no	no	no	no	no	no	no
281	rotifers 1	Porites	food	no	rotifers	no	no	no	no	no	no	4	8.1.21
183	Rotifers 2	Porites	food	no	rotifers	no	no	no	no	no	no	4	8.1.21
197	Rotifers 3	Porites	food	no	rotifers	no	no	no	no	no	no	4	8.1.21
